date,open,high,low,close
1/1/2020 0:00,32237.9,32348,32057.2,32102.9
1/2/2020 0:00,32133.15,32465.45,32121.4,32443.85
1/3/2020 0:00,32326.95,32329.8,31960.4,32069.25
1/6/2020 0:00,31910.45,31914.45,31170.55,31237.15
1/7/2020 0:00,31598.05,31851.45,31200.9,31399.4
1/8/2020 0:00,30995.5,31451.85,30899.55,31373.65
1/9/2020 0:00,31748.25,32172.7,31667.15,32092.4
1/10/2020 0:00,32215.7,32347.2,31953.4,32097.4
1/13/2020 0:00,32139.1,32322.65,32074.05,32177.65
1/14/2020 0:00,32196.45,32196.45,31989.2,32071.65
1/15/2020 0:00,31994.75,32000.9,31670.35,31824.9
1/16/2020 0:00,31810.55,31988.9,31692.4,31853.9
1/17/2020 0:00,31571.65,31773.55,31445.5,31590.65
1/20/2020 0:00,31923.95,31923.95,31050.95,31080.65
1/21/2020 0:00,30978.85,31171.25,30858.6,30947.55
1/22/2020 0:00,31061.6,31149.05,30614,30701.45
1/23/2020 0:00,30742.2,31087.25,30621.35,31004.05
1/24/2020 0:00,31040.1,31375.45,30879.05,31241.75
1/27/2020 0:00,31110.55,31227.05,30808.55,30837.4
1/28/2020 0:00,30922,31048.45,30656.35,30761.4
1/29/2020 0:00,30915.1,31082.85,30835.8,30877
1/30/2020 0:00,30889.25,30909.5,30521.3,30647.4
1/31/2020 0:00,30950.5,31033.45,30691.8,30833.6
2/1/2020 0:00,30726.2,30918.6,29753,29820.9
2/3/2020 0:00,29811.75,30105.8,29612.55,30023.25
2/4/2020 0:00,30235.3,30776.95,30182.45,30686.7
2/5/2020 0:00,30761.95,31065.85,30630.85,31001.95
2/6/2020 0:00,31070.75,31470.65,30917.25,31304.05
2/7/2020 0:00,31367.05,31368.2,31111.05,31201.95
2/10/2020 0:00,31248.65,31248.8,30957.2,31058.15
2/11/2020 0:00,31230.2,31505.95,31225.9,31300.6
2/12/2020 0:00,31441.15,31588.6,31398.15,31492.9
2/13/2020 0:00,31586.55,31649.45,31180.6,31230.25
2/14/2020 0:00,31281.85,31436.65,30776.1,30834.8
2/17/2020 0:00,30873.85,30998.15,30630.5,30680.7
2/18/2020 0:00,30661.5,30692.75,30252.45,30562.5
2/19/2020 0:00,30905,30947.15,30606.15,30838.2
2/20/2020 0:00,30862.3,31085.3,30702.45,30942.85
2/24/2020 0:00,30666.35,30702.15,30428,30455.1
2/25/2020 0:00,30517,30610.7,30329.95,30432.7
2/26/2020 0:00,30279.95,30515.35,30131.75,30306.85
2/27/2020 0:00,30270,30271.95,29914.15,30187
2/28/2020 0:00,29501.55,29564.1,29051.5,29147.15
3/2/2020 0:00,29701,29791.15,28571.7,28868.4
3/3/2020 0:00,29012.55,29285.35,28749.55,29177.05
3/4/2020 0:00,29252.95,29273.65,28125.15,28653.7
3/5/2020 0:00,28830.3,29134.3,28535.6,28815.35
3/6/2020 0:00,27649.95,28047.2,27162.3,27801.45
3/9/2020 0:00,27031.45,27091.6,25923.4,26462.6
3/11/2020 0:00,26272.75,26791.45,26234.1,26487.8
3/12/2020 0:00,25175.9,25223.1,23536.35,23971.15
3/13/2020 0:00,22720.75,25670.75,21351.7,25166.45
3/16/2020 0:00,24061.6,24074.15,23008.25,23101.15
3/17/2020 0:00,23348.05,23449.5,22002,22155.15
3/18/2020 0:00,22411.85,22544.05,20267.95,20580.2
3/19/2020 0:00,19428.95,21035.05,18675.65,20083.5
3/20/2020 0:00,19898.3,20924.55,19265,20317.6
3/23/2020 0:00,18311.3,18895.65,16791.05,16917.65
3/24/2020 0:00,17705.85,17841.4,16116.25,17107.3
3/25/2020 0:00,16759.95,18740.2,16635.5,18481.05
3/26/2020 0:00,18781.85,20409.35,18364.5,19613.9
3/27/2020 0:00,20801.6,21462.4,19580.1,19969
3/30/2020 0:00,19254.45,19716.25,18668.7,18782.4
3/31/2020 0:00,19307.65,19466.3,18792.4,19144
4/1/2020 0:00,19122.4,19154.75,18042.25,18208.35
4/3/2020 0:00,18325.05,18326.1,17143.2,17249.3
4/7/2020 0:00,18454.55,19190.55,17953.75,19062.5
4/8/2020 0:00,18799.4,20324.1,18482.9,18946.45
4/9/2020 0:00,19553.15,19988.3,19166.9,19913.6
4/13/2020 0:00,19854.9,19887.05,19294,19488
4/15/2020 0:00,20096.35,20184.1,18776.75,19057.05
4/16/2020 0:00,18957.15,19520.3,18703.45,19400
4/17/2020 0:00,20394.75,20866.55,19729.3,20681.45
